Eisensäge,Substantiv,"Eisen,Säge",f,Eisensäge,,,,,,,,,Eisensägen,,,,,,,,,Eisensäge,,,,,,,,,Eisensägen,,,,,,,,,Eisensäge,,,,,,,,,Eisensägen,,,,,,,,,Eisensäge,,,,,,,,,Eisensägen,,,,,,,,
Elektrisiermaschine,Substantiv,"elektrisieren,Maschine",f,Elektrisiermaschine,,,,,,,,,Elektrisiermaschinen,,,,,,,,,Elektrisiermaschine,,,,,,,,,Elektrisiermaschinen,,,,,,,,,Elektrisiermaschine,,,,,,,,,Elektrisiermaschinen,,,,,,,,,Elektrisiermaschine,,,,,,,,,Elektrisiermaschinen,,,,,,,,
Elektrowerkzeug,Substantiv,"Elektro-,Werkzeug",n,Elektrowerkzeug,,,,,,,,,Elektrowerkzeuge,,,,,,,,,Elektrowerkzeuges,Elektrowerkzeugs,,,,,,,,Elektrowerkzeuge,,,,,,,,,Elektrowerkzeug,Elektrowerkzeuge,,,,,,,,Elektrowerkzeugen,,,,,,,,,Elektrowerkzeug,,,,,,,,,Elektrowerkzeuge,,,,,,,,
Engländer,Substantiv,,m,Engländer,,,,,,,,,Engländer,,,,,,,,,Engländers,,,,,,,,,Engländer,,,,,,,,,Engländer,,,,,,,,,Engländern,,,,,,,,,Engländer,,,,,,,,,Engländer,,,,,,,,
Entermesser,Substantiv,"entern,Messer",n,Entermesser,,,,,,,,,Entermesser,,,,,,,,,Entermessers,,,,,,,,,Entermesser,,,,,,,,,Entermesser,,,,,,,,,Entermessern,,,,,,,,,Entermesser,,,,,,,,,Entermesser,,,,,,,,
Erregermaschine,Substantiv,"Erreger,Maschine",f,Erregermaschine,,,,,,,,,Erregermaschinen,,,,,,,,,Erregermaschine,,,,,,,,,Erregermaschinen,,,,,,,,,Erregermaschine,,,,,,,,,Erregermaschinen,,,,,,,,,Erregermaschine,,,,,,,,,Erregermaschinen,,,,,,,,
Espressomaschine,Substantiv,"Espresso,Maschine",f,Espressomaschine,,,,,,,,,Espressomaschinen,,,,,,,,,Espressomaschine,,,,,,,,,Espressomaschinen,,,,,,,,,Espressomaschine,,,,,,,,,Espressomaschinen,,,,,,,,,Espressomaschine,,,,,,,,,Espressomaschinen,,,,,,,,
Esslöffel,Substantiv,"essen,Löffel",m,Esslöffel,,,,,,,,,Esslöffel,,,,,,,,,Esslöffels,,,,,,,,,Esslöffel,,,,,,,,,Esslöffel,,,,,,,,,Esslöffeln,,,,,,,,,Esslöffel,,,,,,,,,Esslöffel,,,,,,,,
Fahrtenmesser,Substantiv,"Fahrt,Messer",n,Fahrtenmesser,,,,,,,,,Fahrtenmesser,,,,,,,,,Fahrtenmessers,,,,,,,,,Fahrtenmesser,,,,,,,,,Fahrtenmesser,,,,,,,,,Fahrtenmessern,,,,,,,,,Fahrtenmesser,,,,,,,,,Fahrtenmesser,,,,,,,,
Fakturiermaschine,Substantiv,"fakturieren,Maschine",f,Fakturiermaschine,,,,,,,,,Fakturiermaschinen,,,,,,,,,Fakturiermaschine,,,,,,,,,Fakturiermaschinen,,,,,,,,,Fakturiermaschine,,,,,,,,,Fakturiermaschinen,,,,,,,,,Fakturiermaschine,,,,,,,,,Fakturiermaschinen,,,,,,,,
