lemma,wortart,kompositum,genus,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Johannisbrotbaum,Substantiv,,m,Johannisbrotbaum,,,,,,,,,Johannisbrotbäume,,,,,,,,,Johannisbrotbaums,Johannisbrotbaumes,,,,,,,,Johannisbrotbäume,,,,,,,,,Johannisbrotbaum,Johannisbrotbaume,,,,,,,,Johannisbrotbäumen,,,,,,,,,Johannisbrotbaum,,,,,,,,,Johannisbrotbäume,,,,,,,,
Objektträger,Substantiv,1,m,Objektträger,,,,,,,,,Objektträger,,,,,,,,,Objektträgers,,,,,,,,,Objektträger,,,,,,,,,Objektträger,,,,,,,,,Objektträgern,,,,,,,,,Objektträger,,,,,,,,,Objektträger,,,,,,,,
Vitamintablette,Substantiv,1,f,Vitamintablette,,,,,,,,,Vitamintabletten,,,,,,,,,Vitamintablette,,,,,,,,,Vitamintabletten,,,,,,,,,Vitamintablette,,,,,,,,,Vitamintabletten,,,,,,,,,Vitamintablette,,,,,,,,,Vitamintabletten,,,,,,,,
Bauklotz,Substantiv,1,m,Bauklotz,,,,,,,,,Bauklötze,,,,,,,,,Bauklotzes,,,,,,,,,Bauklötze,,,,,,,,,Bauklotz,Bauklotze,,,,,,,,Bauklötzen,,,,,,,,,Bauklotz,,,,,,,,,Bauklötze,,,,,,,,
Kotelett,Substantiv,,n,Kotelett,,,,,,,,,,,Koteletts,Kotelette,,,,,,Koteletts,,,,,,,,,,,Koteletts,Kotelette,,,,,,Kotelett,,,,,,,,,,,Koteletts,Koteletten,,,,,,Kotelett,,,,,,,,,,,Koteletts,Kotelette,,,,,
Balken,Substantiv,,m,Balken,,,,,,,,,Balken,,,,,,,,,Balkens,,,,,,,,,Balken,,,,,,,,,Balken,,,,,,,,,Balken,,,,,,,,,Balken,,,,,,,,,Balken,,,,,,,,
Ölflasche,Substantiv,1,f,Ölflasche,,,,,,,,,Ölflaschen,,,,,,,,,Ölflasche,,,,,,,,,Ölflaschen,,,,,,,,,Ölflasche,,,,,,,,,Ölflaschen,,,,,,,,,Ölflasche,,,,,,,,,Ölflaschen,,,,,,,,
Brotbeutel,Substantiv,1,m,Brotbeutel,,,,,,,,,Brotbeutel,,,,,,,,,Brotbeutels,,,,,,,,,Brotbeutel,,,,,,,,,Brotbeutel,,,,,,,,,Brotbeuteln,,,,,,,,,Brotbeutel,,,,,,,,,Brotbeutel,,,,,,,,
Wolpertinger,Substantiv,,m,Wolpertinger,,,,,,,,,Wolpertinger,,,,,,,,,Wolpertingers,,,,,,,,,Wolpertinger,,,,,,,,,Wolpertinger,,,,,,,,,Wolpertingern,,,,,,,,,Wolpertinger,,,,,,,,,Wolpertinger,,,,,,,,
50-Euro-Schein,Substantiv,,m,50-Euro-Schein,,,,,,,,,50-Euro-Scheine,,,,,,,,,50-Euro-Scheines,50-Euro-Scheins,,,,,,,,50-Euro-Scheine,,,,,,,,,50-Euro-Schein,50-Euro-Scheine,,,,,,,,50-Euro-Scheinen,,,,,,,,,50-Euro-Schein,,,,,,,,,50-Euro-Scheine,,,,,,,,
Metallzaun,Substantiv,1,m,Metallzaun,,,,,,,,,Metallzäune,,,,,,,,,Metallzaunes,Metallzauns,,,,,,,,Metallzäune,,,,,,,,,Metallzaun,Metallzaune,,,,,,,,Metallzäunen,,,,,,,,,Metallzaun,,,,,,,,,Metallzäune,,,,,,,,
Schlapphose,Substantiv,,f,Schlapphose,,,,,,,,,Schlapphosen,,,,,,,,,Schlapphose,,,,,,,,,Schlapphosen,,,,,,,,,Schlapphose,,,,,,,,,Schlapphosen,,,,,,,,,Schlapphose,,,,,,,,,Schlapphosen,,,,,,,,
Tanksäule,Substantiv,,f,Tanksäule,,,,,,,,,Tanksäulen,,,,,,,,,Tanksäule,,,,,,,,,Tanksäulen,,,,,,,,,Tanksäule,,,,,,,,,Tanksäulen,,,,,,,,,Tanksäule,,,,,,,,,Tanksäulen,,,,,,,,
Äskulapnatter,Substantiv,,f,Äskulapnatter,,,,,,,,,Äskulapnattern,,,,,,,,,Äskulapnatter,,,,,,,,,Äskulapnattern,,,,,,,,,Äskulapnatter,,,,,,,,,Äskulapnattern,,,,,,,,,Äskulapnatter,,,,,,,,,Äskulapnattern,,,,,,,,
Bügeleisen,Substantiv,1,n,Bügeleisen,,,,,,,,, Bügeleisen,,,,,,,,,Bügeleisens,,,,,,,,,Bügeleisen,,,,,,,,,Bügeleisen,,,,,,,,,Bügeleisen,,,,,,,,,Bügeleisen,,,,,,,,,Bügeleisen,,,,,,,,
Fräse,Substantiv,,f,Fräse,,,,,,,,,Fräsen,,,,,,,,,Fräse,,,,,,,,,Fräsen,,,,,,,,,Fräse,,,,,,,,,Fräsen,,,,,,,,,Fräse,,,,,,,,,Fräsen,,,,,,,,
Schnapsglas,Substantiv,1,n,Schnapsglas,,,,,,,,,Schnapsgläser,,,,,,,,,Schnapsglases,,,,,,,,,Schnapsgläser,,,,,,,,,Schnapsglas,Schnapsglase,,,,,,,,Schnapsgläsern,,,,,,,,,Schnapsglas,,,,,,,,,Schnapsgläser,,,,,,,,
Prozessionskreuz,Substantiv,1,n,Prozessionskreuz,,,,,,,,,Prozessionskreuze,,,,,,,,,Prozessionskreuzes,,,,,,,,,Prozessionskreuze,,,,,,,,,Prozessionskreuz,Prozessionskreuze,,,,,,,,Prozessionskreuzen,,,,,,,,,Prozessionskreuz,,,,,,,,,Prozessionskreuze,,,,,,,,
Magnetrührstab,Substantiv,1,m,Magnetrührstab,,,,,,,,,Magnetrührstäbe,,,,,,,,,Magnetrührstabs,Magnetrührstabes,,,,,,,,Magnetrührstäbe,,,,,,,,,Magnetrührstab,Magnetrührstabe,,,,,,,,Magnetrührstäben,,,,,,,,,Magnetrührstab,,,,,,,,,Magnetrührstäbe,,,,,,,,
Kniegelenk,Substantiv,1,n,Kniegelenk,,,,,,,,,Kniegelenke,,,,,,,,,Kniegelenkes,Kniegelenks,,,,,,,,Kniegelenke,,,,,,,,,Kniegelenk,Kniegelenke,,,,,,,,Kniegelenken,,,,,,,,,Kniegelenk,,,,,,,,,Kniegelenke,,,,,,,,
Jutebeutel,Substantiv,1,m,Jutebeutel,,,,,,,,,Jutebeutel,,,,,,,,,Jutebeutels,,,,,,,,,Jutebeutel,,,,,,,,,Jutebeutel,,,,,,,,,Jutebeuteln,,,,,,,,,Jutebeutel,,,,,,,,,Jutebeutel,,,,,,,,
Raumkapsel,Substantiv,,f,Raumkapsel,,,,,,,,,Raumkapseln,,,,,,,,,Raumkapsel,,,,,,,,,Raumkapseln,,,,,,,,,Raumkapsel,,,,,,,,,Raumkapseln,,,,,,,,,Raumkapsel,,,,,,,,,Raumkapseln,,,,,,,,
Eichelhäher,Substantiv,,m,Eichelhäher,,,,,,,,,Eichelhäher,,,,,,,,,Eichelhähers,,,,,,,,,Eichelhäher,,,,,,,,,Eichelhäher,,,,,,,,,Eichelhähern,,,,,,,,,Eichelhäher,,,,,,,,,Eichelhäher,,,,,,,,
Beere,Substantiv,,f,Beere,,,,,,,,,Beeren,,,,,,,,,Beere,,,,,,,,,Beeren,,,,,,,,,Beere,,,,,,,,,Beeren,,,,,,,,,Beere,,,,,,,,,Beeren,,,,,,,,
Alphateilchen,Substantiv,1,n,Alphateilchen,,,,,,,,,Alphateilchen,,,,,,,,,Alphateilchens,,,,,,,,,Alphateilchen,,,,,,,,,Alphateilchen,,,,,,,,,Alphateilchen,,,,,,,,,Alphateilchen,,,,,,,,,Alphateilchen,,,,,,,,
Kognakflasche,Substantiv,1,f,Kognakflasche,,,,,,,,,Kognakflaschen,,,,,,,,,Kognakflasche,,,,,,,,,Kognakflaschen,,,,,,,,,Kognakflasche,,,,,,,,,Kognakflaschen,,,,,,,,,Kognakflasche,,,,,,,,,Kognakflaschen,,,,,,,,
Tongefäß,Substantiv,1,n,Tongefäß,,,,,,,,,Tongefäße,,,,,,,,,Tongefäßes,,,,,,,,,Tongefäße,,,,,,,,,Tongefäß,Tongefäße,,,,,,,,Tongefäßen,,,,,,,,,Tongefäß,,,,,,,,,Tongefäße,,,,,,,,
Dominostein,Substantiv,,m,Dominostein,,,,,,,,,Dominosteine,,,,,,,,,Dominosteines,Dominosteins,,,,,,,,Dominosteine,,,,,,,,,Dominostein,Dominosteine,,,,,,,,Dominosteinen,,,,,,,,,Dominostein,,,,,,,,,Dominosteine,,,,,,,,
Minenräumpanzer,Substantiv,,m,Minenräumpanzer,,,,,,,,,Minenräumpanzer,,,,,,,,,Minenräumpanzers,,,,,,,,,Minenräumpanzer,,,,,,,,,Minenräumpanzer,,,,,,,,,Minenräumpanzern,,,,,,,,,Minenräumpanzer,,,,,,,,,Minenräumpanzer,,,,,,,,
Gehirn,Substantiv,,n,Gehirn,,,,,,,,,Gehirne,,,,,,,,,Gehirns,Gehirnes,,,,,,,,Gehirne,,,,,,,,,Gehirn,Gehirne,,,,,,,,Gehirnen,,,,,,,,,Gehirn,,,,,,,,,Gehirne,,,,,,,,
Prüfröhrchen,Substantiv,1,n,Prüfröhrchen,,,,,,,,,Prüfröhrchen,,,,,,,,,Prüfröhrchens,,,,,,,,,Prüfröhrchen,,,,,,,,,Prüfröhrchen,,,,,,,,,Prüfröhrchen,,,,,,,,,Prüfröhrchen,,,,,,,,,Prüfröhrchen,,,,,,,,
Speierling,Substantiv,,m,Speierling,,,,,,,,,Speierlinge,,,,,,,,,Speierlings,,,,,,,,,Speierlinge,,,,,,,,,Speierling,,,,,,,,,Speierlingen,,,,,,,,,Speierling,,,,,,,,,Speierlinge,,,,,,,,
Pickelhering,Substantiv,,m,Pickelhering,,,,,,,,,Pickelheringe,,,,,,,,,Pickelherings,,,,,,,,,Pickelheringe,,,,,,,,,Pickelhering,,,,,,,,,Pickelheringen,,,,,,,,,Pickelhering,,,,,,,,,Pickelheringe,,,,,,,,
Dosenlocher,Substantiv,,m,Dosenlocher,,,,,,,,,Dosenlocher,,,,,,,,,Dosenlochers,,,,,,,,,Dosenlocher,,,,,,,,,Dosenlocher,,,,,,,,,Dosenlochern,,,,,,,,,Dosenlocher,,,,,,,,,Dosenlocher,,,,,,,,
Kugelgelenk,Substantiv,1,n,Kugelgelenk,,,,,,,,,Kugelgelenke,,,,,,,,,Kugelgelenkes,Kugelgelenks,,,,,,,,Kugelgelenke,,,,,,,,,Kugelgelenk,Kugelgelenke,,,,,,,,Kugelgelenken,,,,,,,,,Kugelgelenk,,,,,,,,,Kugelgelenke,,,,,,,,
Filetiermaschine,Substantiv,1,f,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,,Filetiermaschine,,,,,,,,,Filetiermaschinen,,,,,,,,
Brennschere,Substantiv,1,f,Brennschere,,,,,,,,,Brennscheren,,,,,,,,,Brennschere,,,,,,,,,Brennscheren,,,,,,,,,Brennschere,,,,,,,,,Brennscheren,,,,,,,,,Brennschere,,,,,,,,,Brennscheren,,,,,,,,
Brontosaurus,Substantiv,1,m,Brontosaurus,,,,,,,,,Brontosaurier,,,,,,,,,Brontosaurus,,,,,,,,,Brontosaurier,,,,,,,,,Brontosaurus,,,,,,,,,Brontosauriern,,,,,,,,,Brontosaurus,,,,,,,,,Brontosaurier,,,,,,,,
Osternest,Substantiv,,n,Osternest,,,,,,,,,Osternester,,,,,,,,,Osternestes,Osternests,,,,,,,,Osternester,,,,,,,,,Osternest,Osterneste,,,,,,,,Osternestern,,,,,,,,,Osternest,,,,,,,,,Osternester,,,,,,,,
Kanonenboot,Substantiv,1,n,Kanonenboot,,,,,,,,,Kanonenboote,,,,,,,,,Kanonenbootes,Kanonenboots,,,,,,,,Kanonenboote,,,,,,,,,Kanonenboot,Kanonenboote,,,,,,,,Kanonenbooten,,,,,,,,,Kanonenboot,,,,,,,,,Kanonenboote,,,,,,,,
Nähfaden,Substantiv,1,m,Nähfaden,,,,,,,,,Nähfäden,,,,,,,,,Nähfadens,,,,,,,,,Nähfäden,,,,,,,,,Nähfaden,,,,,,,,,Nähfäden,,,,,,,,,Nähfaden,,,,,,,,,Nähfäden,,,,,,,,
Metallband,Substantiv,1,n,Metallband,,,,,,,,,Metallbänder,,,,,,,,,Metallbands,Metallbandes,,,,,,,,Metallbänder,,,,,,,,,Metallband,,,,,,,,,Metallbändern,,,,,,,,,Metallband,,,,,,,,,Metallbänder,,,,,,,,
Lüftungsstein,Substantiv,1,m,Lüftungsstein,,,,,,,,,Lüftungssteine,,,,,,,,,Lüftungssteines,Lüftungssteins,,,,,,,,Lüftungssteine,,,,,,,,,Lüftungsstein,Lüftungssteine,,,,,,,,Lüftungssteinen,,,,,,,,,Lüftungsstein,,,,,,,,,Lüftungssteine,,,,,,,,
Riesenschirmpilz,Substantiv,,m,Riesenschirmpilz,,,,,,,,,Riesenschirmpilze,,,,,,,,,Riesenschirmpilzes,,,,,,,,,Riesenschirmpilze,,,,,,,,,Riesenschirmpilz,,,,,,,,,Riesenschirmpilzen,,,,,,,,,Riesenschirmpilz,,,,,,,,,Riesenschirmpilze,,,,,,,,
Strumpfbandnatter,Substantiv,1,f,Strumpfbandnatter,,,,,,,,,Strumpfbandnattern,,,,,,,,,Strumpfbandnatter,,,,,,,,,Strumpfbandnattern,,,,,,,,,Strumpfbandnatter,,,,,,,,,Strumpfbandnattern,,,,,,,,,Strumpfbandnatter,,,,,,,,,Strumpfbandnattern,,,,,,,,
Kurzstreckenrakete,Substantiv,1,f,Kurzstreckenrakete,,,,,,,,,Kurzstreckenraketen,,,,,,,,,Kurzstreckenrakete,,,,,,,,,Kurzstreckenraketen,,,,,,,,,Kurzstreckenrakete,,,,,,,,,Kurzstreckenraketen,,,,,,,,,Kurzstreckenrakete,,,,,,,,,Kurzstreckenraketen,,,,,,,,
Brotkrume,Substantiv,1,f,Brotkrume,,,,,,,,,Brotkrumen,,,,,,,,,Brotkrume,,,,,,,,,Brotkrumen,,,,,,,,,Brotkrume,,,,,,,,,Brotkrumen,,,,,,,,,Brotkrume,,,,,,,,,Brotkrumen,,,,,,,,
Bierkiste,Substantiv,,f,Bierkiste,,,,,,,,,Bierkisten,,,,,,,,,Bierkiste,,,,,,,,,Bierkisten,,,,,,,,,Bierkiste,,,,,,,,,Bierkisten,,,,,,,,,Bierkiste,,,,,,,,,Bierkisten,,,,,,,,
Baumhaus,Substantiv,1,n,Baumhaus,,,,,,,,,Baumhäuser,,,,,,,,,Baumhauses,,,,,,,,,Baumhäuser,,,,,,,,,Baumhaus,Baumhause,,,,,,,,Baumhäusern,,,,,,,,,Baumhaus,,,,,,,,,Baumhäuser,,,,,,,,
Sülze,Substantiv,,f,Sülze,,,,,,,,,Sülzen,,,,,,,,,Sülze,,,,,,,,,Sülzen,,,,,,,,,Sülze,,,,,,,,,Sülzen,,,,,,,,,Sülze,,,,,,,,,Sülzen,,,,,,,,
Meteorit,Substantiv,,,,,Meteorit,Meteorit,,,,,,,,Meteoriten,Meteorite,,,,,,,,Meteoriten,Meteorits,,,,,,,,Meteoriten,Meteorite,,,,,,,,Meteoriten,Meteorit,,,,,,,,Meteoriten,Meteoriten,,,,,,,,Meteoriten,Meteorit,,,,,,,,Meteoriten,Meteorite,,,,,
Fettnäpfchen,Substantiv,,n,Fettnäpfchen,,,,,,,,,Fettnäpfchen,,,,,,,,,Fettnäpfchens,,,,,,,,,Fettnäpfchen,,,,,,,,,Fettnäpfchen,,,,,,,,,Fettnäpfchen,,,,,,,,,Fettnäpfchen,,,,,,,,,Fettnäpfchen,,,,,,,,
Schießeisen,Substantiv,1,n,Schießeisen,,,,,,,,,Schießeisen,,,,,,,,,Schießeisens,,,,,,,,,Schießeisen,,,,,,,,,Schießeisen,,,,,,,,,Schießeisen,,,,,,,,,Schießeisen,,,,,,,,,Schießeisen,,,,,,,,
Törtchen,Substantiv,,n,Törtchen,,,,,,,,,Törtchen,,,,,,,,,Törtchens,,,,,,,,,Törtchen,,,,,,,,,Törtchen,,,,,,,,,Törtchen,,,,,,,,,Törtchen,,,,,,,,,Törtchen,,,,,,,,
Balkonfenster,Substantiv,1,n,Balkonfenster,,,,,,,,,Balkonfenster,,,,,,,,,Balkonfensters,,,,,,,,,Balkonfenster,,,,,,,,,Balkonfenster,,,,,,,,,Balkonfenstern,,,,,,,,,Balkonfenster,,,,,,,,,Balkonfenster,,,,,,,,
Vierzigtonner,Substantiv,,m,Vierzigtonner,,,,,,,,,Vierzigtonner,,,,,,,,,Vierzigtonners,,,,,,,,,Vierzigtonner,,,,,,,,,Vierzigtonner,,,,,,,,,Vierzigtonnern,,,,,,,,,Vierzigtonner,,,,,,,,,Vierzigtonner,,,,,,,,
Grubenlokomotive,Substantiv,1,f,Grubenlokomotive,,,,,,,,,Grubenlokomotiven,,,,,,,,,Grubenlokomotive,,,,,,,,,Grubenlokomotiven,,,,,,,,,Grubenlokomotive,,,,,,,,,Grubenlokomotiven,,,,,,,,,Grubenlokomotive,,,,,,,,,Grubenlokomotiven,,,,,,,,
Aufklärungsdrohne,Substantiv,1,f,Aufklärungsdrohne,,,,,,,,,Aufklärungsdrohnen,,,,,,,,,Aufklärungsdrohne,,,,,,,,,Aufklärungsdrohnen,,,,,,,,,Aufklärungsdrohne,,,,,,,,,Aufklärungsdrohnen,,,,,,,,,Aufklärungsdrohne,,,,,,,,,Aufklärungsdrohnen,,,,,,,,
Honigmelone,Substantiv,1,f,Honigmelone,,,,,,,,,Honigmelonen,,,,,,,,,Honigmelone,,,,,,,,,Honigmelonen,,,,,,,,,Honigmelone,,,,,,,,,Honigmelonen,,,,,,,,,Honigmelone,,,,,,,,,Honigmelonen,,,,,,,,
Revolver,Substantiv,,m,Revolver,,,,,,,,,Revolver,,,,,,,,,Revolvers,,,,,,,,,Revolver,,,,,,,,,Revolver,,,,,,,,,Revolvern,,,,,,,,,Revolver,,,,,,,,,Revolver,,,,,,,,
Ausflugsschiff,Substantiv,1,n,Ausflugsschiff,,,,,,,,,Ausflugsschiffe,,,,,,,,,Ausflugsschiffs,Ausflugsschiffes,,,,,,,,Ausflugsschiffe,,,,,,,,,Ausflugsschiff,Ausflugsschiffe,,,,,,,,Ausflugsschiffen,,,,,,,,,Ausflugsschiff,,,,,,,,,Ausflugsschiffe,,,,,,,,
Leuchte,Substantiv,,f,Leuchte,,,,,,,,,Leuchten,,,,,,,,,Leuchte,,,,,,,,,Leuchten,,,,,,,,,Leuchte,,,,,,,,,Leuchten,,,,,,,,,Leuchte,,,,,,,,,Leuchten,,,,,,,,
Pfeifhase,Substantiv,1,m,Pfeifhase,,,,,,,,,Pfeifhasen,,,,,,,,,Pfeifhasen,,,,,,,,,Pfeifhasen,,,,,,,,,Pfeifhasen,,,,,,,,,Pfeifhasen,,,,,,,,,Pfeifhasen,,,,,,,,,Pfeifhasen,,,,,,,,
Radiometer,Substantiv,1,n,Radiometer,,,,,,,,,Radiometer,,,,,,,,,Radiometers,,,,,,,,,Radiometer,,,,,,,,,Radiometer,,,,,,,,,Radiometern,,,,,,,,,Radiometer,,,,,,,,,Radiometer,,,,,,,,
Reibe,Substantiv,,f,Reibe,,,,,,,,,Reiben,,,,,,,,,Reibe,,,,,,,,,Reiben,,,,,,,,,Reibe,,,,,,,,,Reiben,,,,,,,,,Reibe,,,,,,,,,Reiben,,,,,,,,
Holzbalkendecke,Substantiv,1,m,Holzbalkendecke,,,,,,,,,Holzbalkendecken,,,,,,,,,Holzbalkendecke,,,,,,,,,Holzbalkendecken,,,,,,,,,Holzbalkendecke,,,,,,,,,Holzbalkendecken,,,,,,,,,Holzbalkendecke,,,,,,,,,Holzbalkendecken,,,,,,,,
Propeller,Substantiv,,m,Propeller,,,,,,,,,Propeller,,,,,,,,,Propellers,,,,,,,,,Propeller,,,,,,,,,Propeller,,,,,,,,,Propellern,,,,,,,,,Propeller,,,,,,,,,Propeller,,,,,,,,
Schnappmesser,Substantiv,1,n,Schnappmesser,,,,,,,,,Schnappmesser,,,,,,,,,Schnappmessers,,,,,,,,,Schnappmesser,,,,,,,,,Schnappmesser,,,,,,,,,Schnappmessern,,,,,,,,,Schnappmesser,,,,,,,,,Schnappmesser,,,,,,,,
Sektschale,Substantiv,1,f,Sektschale,,,,,,,,,Sektschalen,,,,,,,,,Sektschale,,,,,,,,,Sektschalen,,,,,,,,,Sektschale,,,,,,,,,Sektschalen,,,,,,,,,Sektschale,,,,,,,,,Sektschalen,,,,,,,,
Kondomautomat,Substantiv,1,m,Kondomautomat,,,,,,,,,Kondomautomaten,,,,,,,,,Kondomautomaten,,,,,,,,,Kondomautomaten,,,,,,,,,Kondomautomaten,,,,,,,,,Kondomautomaten,,,,,,,,,Kondomautomaten,,,,,,,,,Kondomautomaten,,,,,,,,
Murmelfell,Substantiv,1,n,Murmelfell,,,,,,,,,Murmelfelle,,,,,,,,,Murmelfells,Murmelfelles,,,,,,,,Murmelfelle,,,,,,,,,Murmelfell,,,,,,,,,Murmelfellen,,,,,,,,,Murmelfell,,,,,,,,,Murmelfelle,,,,,,,,
Mandarine,Substantiv,,f,Mandarine,,,,,,,,,Mandarinen,,,,,,,,,Mandarine,,,,,,,,,Mandarinen,,,,,,,,,Mandarine,,,,,,,,,Mandarinen,,,,,,,,,Mandarine,,,,,,,,,Mandarinen,,,,,,,,
Kackwurst,Substantiv,,f,Kackwurst,,,,,,,,,Kackwürste,,,,,,,,,Kackwurst,,,,,,,,,Kackwürste,,,,,,,,,Kackwurst,,,,,,,,,Kackwürsten,,,,,,,,,Kackwurst,,,,,,,,,Kackwürste,,,,,,,,
Kaffeedose,Substantiv,1,f,Kaffeedose,,,,,,,,,Kaffeedosen,,,,,,,,,Kaffeedose,,,,,,,,,Kaffeedosen,,,,,,,,,Kaffeedose,,,,,,,,,Kaffeedosen,,,,,,,,,Kaffeedose,,,,,,,,,Kaffeedosen,,,,,,,,
Hasenfell,Substantiv,,n,Hasenfell,,,,,,,,,Hasenfelle,,,,,,,,,Hasenfelles,Hasenfells,,,,,,,,Hasenfelle,,,,,,,,,Hasenfell,Hasenfelle,,,,,,,,Hasenfellen,,,,,,,,,Hasenfell,,,,,,,,,Hasenfelle,,,,,,,,
Nutria,Substantiv,,m,Nutria,,,,,,,,,Nutrias,,,,,,,,,Nutrias,,,,,,,,,Nutrias,,,,,,,,,Nutria,,,,,,,,,Nutrias,,,,,,,,,Nutria,,,,,,,,,Nutrias,,,,,,,,
Mixtape,Substantiv,,n,Mixtape,,,,,,,,,Mixtapes,,,,,,,,,Mixtapes,,,,,,,,,Mixtapes,,,,,,,,,Mixtape,,,,,,,,,Mixtapes,,,,,,,,,Mixtape,,,,,,,,,Mixtapes,,,,,,,,
Bärenfell,Substantiv,,n,Bärenfell,,,,,,,,,Bärenfelle,,,,,,,,,Bärenfelles,Bärenfells,,,,,,,,Bärenfelle,,,,,,,,,Bärenfell,Bärenfelle,,,,,,,,Bärenfellen,,,,,,,,,Bärenfell,,,,,,,,,Bärenfelle,,,,,,,,
Babyspielzeug,Substantiv,1,n,Babyspielzeug,,,,,,,,,Babyspielzeuge,,,,,,,,,Babyspielzeugs,Babyspielzeuges,,,,,,,,Babyspielzeuge,,,,,,,,,Babyspielzeug,,,,,,,,,Babyspielzeugen,,,,,,,,,Babyspielzeug,,,,,,,,,Babyspielzeuge,,,,,,,,
Kronkorken,Substantiv,1,m,Kronkorken,,,,,,,,,Kronkorken,,,,,,,,,Kronkorkens,,,,,,,,,Kronkorken,,,,,,,,,Kronkorken,,,,,,,,,Kronkorken,,,,,,,,,Kronkorken,,,,,,,,,Kronkorken,,,,,,,,
Schlüsselschalter,Substantiv,1,m,Schlüsselschalter,,,,,,,,,Schlüsselschalter,,,,,,,,,Schlüsselschalters,,,,,,,,,Schlüsselschalter,,,,,,,,,Schlüsselschalter,,,,,,,,,Schlüsselschaltern,,,,,,,,,Schlüsselschalter,,,,,,,,,Schlüsselschalter,,,,,,,,
Rohrstuhl,Substantiv,1,m,Rohrstuhl,,,,,,,,,Rohrstühle,,,,,,,,,Rohrstuhls,Rohrstuhles,,,,,,,,Rohrstühle,,,,,,,,,Rohrstuhl,Rohrstuhle,,,,,,,,Rohrstühlen,,,,,,,,,Rohrstuhl,,,,,,,,,Rohrstühle,,,,,,,,
Paketschnur,Substantiv,1,f,Paketschnur,,,,,,,,,Paketschnüre,,,,,,,,,Paketschnur,,,,,,,,,Paketschnüre,,,,,,,,,Paketschnur,,,,,,,,,Paketschnüren,,,,,,,,,Paketschnur,,,,,,,,,Paketschnüre,,,,,,,,
Restmülltonne,Substantiv,1,f,Restmülltonne,,,,,,,,,Restmülltonnen,,,,,,,,,Restmülltonne,,,,,,,,,Restmülltonnen,,,,,,,,,Restmülltonne,,,,,,,,,Restmülltonnen,,,,,,,,,Restmülltonne,,,,,,,,,Restmülltonnen,,,,,,,,
Bottich,Substantiv,,m,Bottich,,,,,,,,,Bottiche,,,,,,,,,Bottichs,,,,,,,,,Bottiche,,,,,,,,,Bottich,,,,,,,,,Bottichen,,,,,,,,,Bottich,,,,,,,,,Bottiche,,,,,,,,
Rosmarinzweig,Substantiv,1,m,Rosmarinzweig,,,,,,,,,Rosmarinzweige,,,,,,,,,Rosmarinzweiges,Rosmarinzweigs,,,,,,,,Rosmarinzweige,,,,,,,,,Rosmarinzweig,Rosmarinzweige,,,,,,,,Rosmarinzweigen,,,,,,,,,Rosmarinzweig,,,,,,,,,Rosmarinzweige,,,,,,,,
Hähnchenkeule,Substantiv,1,f,Hähnchenkeule,,,,,,,,,Hähnchenkeulen,,,,,,,,,Hähnchenkeule,,,,,,,,,Hähnchenkeulen,,,,,,,,,Hähnchenkeule,,,,,,,,,Hähnchenkeulen,,,,,,,,,Hähnchenkeule,,,,,,,,,Hähnchenkeulen,,,,,,,,
Flurstein,Substantiv,1,m,Flurstein,,,,,,,,,Flursteine,,,,,,,,,Flursteines,Flursteins,,,,,,,,Flursteine,,,,,,,,,Flurstein,Flursteine,,,,,,,,Flursteinen,,,,,,,,,Flurstein,,,,,,,,,Flursteine,,,,,,,,
Plattenspieler,Substantiv,1,m,Plattenspieler,,,,,,,,,Plattenspieler,,,,,,,,,Plattenspielers,,,,,,,,,Plattenspieler,,,,,,,,,Plattenspieler,,,,,,,,,Plattenspielern,,,,,,,,,Plattenspieler,,,,,,,,,Plattenspieler,,,,,,,,
