lemma,wortart,kompositum,genus,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Anhängerkupplung,Substantiv,1,f,Anhängerkupplung,,,,,,,,,Anhängerkupplungen,,,,,,,,,Anhängerkupplung,,,,,,,,,Anhängerkupplungen,,,,,,,,,Anhängerkupplung,,,,,,,,,Anhängerkupplungen,,,,,,,,,Anhängerkupplung,,,,,,,,,Anhängerkupplungen,,,,,,,,
Putzutensil,Substantiv,1,n,Putzutensil,,,,,,,,,Putzutensilien,,,,,,,,,Putzutensils,,,,,,,,,Putzutensilien,,,,,,,,,Putzutensil,,,,,,,,,Putzutensilien,,,,,,,,,Putzutensil,,,,,,,,,Putzutensilien,,,,,,,,
Intercity-Express,Substantiv,,m,Intercity-Express,,,,,,,,,Intercity-Expresse,,,,,,,,,Intercity-Expresses,,,,,,,,,Intercity-Expresse,,,,,,,,,Intercity-Express,Intercity-Expresse,,,,,,,,Intercity-Expressen,,,,,,,,,Intercity-Express,,,,,,,,,Intercity-Expresse,,,,,,,,
Lithiumatom,Substantiv,1,n,Lithiumatom,,,,,,,,,Lithiumatome,,,,,,,,,Lithiumatoms,,,,,,,,,Lithiumatome,,,,,,,,,Lithiumatom,,,,,,,,,Lithiumatomen,,,,,,,,,Lithiumatom,,,,,,,,,Lithiumatome,,,,,,,,
Langhaardackel,Substantiv,,m,Langhaardackel,,,,,,,,,Langhaardackel,,,,,,,,,Langhaardackels,,,,,,,,,Langhaardackel,,,,,,,,,Langhaardackel,,,,,,,,,Langhaardackeln,,,,,,,,,Langhaardackel,,,,,,,,,Langhaardackel,,,,,,,,
Cornichon,Substantiv,,n,Cornichon,,,,,,,,,Cornichons,,,,,,,,,Cornichons,,,,,,,,,Cornichons,,,,,,,,,Cornichon,,,,,,,,,Cornichons,,,,,,,,,Cornichon,,,,,,,,,Cornichons,,,,,,,,
Schnurlostelefon,Substantiv,,n,Schnurlostelefon,,,,,,,,,Schnurlostelefone,,,,,,,,,Schnurlostelefons,,,,,,,,,Schnurlostelefone,,,,,,,,,Schnurlostelefon,,,,,,,,,Schnurlostelefonen,,,,,,,,,Schnurlostelefon,,,,,,,,,Schnurlostelefone,,,,,,,,
Aluleiter,Substantiv,1,f,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,,Aluleiter,,,,,,,,,Aluleitern,,,,,,,,
Pfirsichköpfchen,Substantiv,1,n,Pfirsichköpfchen,,,,,,,,,Pfirsichköpfchen,,,,,,,,,Pfirsichköpfchens,,,,,,,,,Pfirsichköpfchen,,,,,,,,,Pfirsichköpfchen,,,,,,,,,Pfirsichköpfchen,,,,,,,,,Pfirsichköpfchen,,,,,,,,,Pfirsichköpfchen,,,,,,,,
Jagdflinte,Substantiv,,f,Jagdflinte,,,,,,,,,Jagdflinten,,,,,,,,,Jagdflinte,,,,,,,,,Jagdflinten,,,,,,,,,Jagdflinte,,,,,,,,,Jagdflinten,,,,,,,,,Jagdflinte,,,,,,,,,Jagdflinten,,,,,,,,
Digitalradio,Substantiv,1,n,Digitalradio,,,,,,,,,,,,,,,,,,Digitalradios,,,,,,,,,,,,,,,,,,Digitalradio,,,,,,,,,,,,,,,,,,Digitalradio,,,,,,,,,,,,,,,,,
Komposthaufen,Substantiv,1,m,Komposthaufen,,,,,,,,,Komposthaufen,,,,,,,,,Komposthaufens,,,,,,,,,Komposthaufen,,,,,,,,,Komposthaufen,,,,,,,,,Komposthaufen,,,,,,,,,Komposthaufen,,,,,,,,,Komposthaufen,,,,,,,,
